Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 07:12:13,2019-07-29 07:13:09,55.615s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 07:12:13,2019-07-29 07:12:32,19.179s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 07:12:13,2019-07-29 07:12:20,6.185s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:20,2019-07-29 07:12:26,6.078s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 07:12:26,2019-07-29 07:12:30,4.149s,PASSED
waitForAngularLoad(5),Chrome 75.0.3770.142,,,2019-07-29 07:12:30,2019-07-29 07:12:30,0.018s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:30,2019-07-29 07:12:30,0.249s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:30,2019-07-29 07:12:30,0.117s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 07:12:30,2019-07-29 07:12:30,0.111s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 07:12:30,2019-07-29 07:12:31,0.867s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sample9"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:31,2019-07-29 07:12:32,0.373s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 07:12:32,2019-07-29 07:12:32,0.065s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:32,2019-07-29 07:12:32,0.768s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 07:12:32,2019-07-29 07:12:51,18.557s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 07:12:33,2019-07-29 07:12:38,5.924s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:38,2019-07-29 07:12:44,5.986s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 07:12:44,2019-07-29 07:12:49,4.148s,PASSED
waitForAngularLoad(5),Chrome 75.0.3770.142,,,2019-07-29 07:12:49,2019-07-29 07:12:49,0.013s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:49,2019-07-29 07:12:49,0.136s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:49,2019-07-29 07:12:49,0.099s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 07:12:49,2019-07-29 07:12:49,0.096s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 07:12:49,2019-07-29 07:12:50,0.856s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sample9"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:50,2019-07-29 07:12:50,0.351s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 07:12:50,2019-07-29 07:12:50,0.063s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E : Record Already Exists"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:50,2019-07-29 07:12:51,0.744s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_003_Verify_RequiredField,Chrome 75.0.3770.142,,,2019-07-29 07:12:51,2019-07-29 07:13:09,17.675s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 07:12:51,2019-07-29 07:12:57,5.953s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 07:12:57,2019-07-29 07:13:03,5.962s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 07:13:03,2019-07-29 07:13:07,4.143s,PASSED
waitForAngularLoad(5),Chrome 75.0.3770.142,,,2019-07-29 07:13:07,2019-07-29 07:13:07,0.010s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 07:13:07,2019-07-29 07:13:07,0.135s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 07:13:07,2019-07-29 07:13:07,0.109s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 07:13:07,2019-07-29 07:13:08,0.140s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 07:13:08,2019-07-29 07:13:08,0.808s,PASSED
"sendKeys(findTestObject(""BPM POC/Input_Description""), Keys.chord(CONTROL, ""a""))",Chrome 75.0.3770.142,,,2019-07-29 07:13:08,2019-07-29 07:13:08,0.066s,PASSED
"sendKeys(findTestObject(""BPM POC/Input_Description""), Keys.chord(DELETE))",Chrome 75.0.3770.142,,,2019-07-29 07:13:08,2019-07-29 07:13:08,0.065s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 07:13:08,2019-07-29 07:13:09,0.088s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E0076 : Enter Required Fields"")",Chrome 75.0.3770.142,,,2019-07-29 07:13:09,2019-07-29 07:13:09,0.056s,PASSED
