Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 10:59:03,2019-07-29 11:00:22,1m - 19.286s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 10:59:03,2019-07-29 10:59:34,31.261s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 10:59:04,2019-07-29 10:59:11,7.233s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:11,2019-07-29 10:59:17,6.722s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 10:59:17,2019-07-29 10:59:22,4.213s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 10:59:22,2019-07-29 10:59:22,0.048s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:22,2019-07-29 10:59:22,0.198s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:22,2019-07-29 10:59:22,0.198s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 10:59:22,2019-07-29 10:59:23,0.442s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 10:59:23,2019-07-29 10:59:24,1.347s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 10:59:24,2019-07-29 10:59:29,5.054s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),Chrome 75.0.3770.142,,,2019-07-29 10:59:29,2019-07-29 10:59:29,0.006s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",Chrome 75.0.3770.142,,,2019-07-29 10:59:29,2019-07-29 10:59:29,0.289s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 10:59:29,2019-07-29 10:59:29,0.074s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 10:59:29,2019-07-29 10:59:34,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:34,2019-07-29 10:59:34,0.040s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 10:59:34,2019-07-29 10:59:58,23.952s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 10:59:35,2019-07-29 10:59:40,5.900s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:40,2019-07-29 10:59:47,6.270s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 10:59:47,2019-07-29 10:59:51,4.252s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 10:59:51,2019-07-29 10:59:51,0.091s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:51,2019-07-29 10:59:51,0.299s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:51,2019-07-29 10:59:51,0.165s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 10:59:51,2019-07-29 10:59:52,0.077s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 10:59:52,2019-07-29 10:59:53,1.192s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sample9"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:53,2019-07-29 10:59:53,0.453s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 10:59:53,2019-07-29 10:59:53,0.077s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 10:59:53,2019-07-29 10:59:58,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E : Record Already Exists"")",Chrome 75.0.3770.142,,,2019-07-29 10:59:58,2019-07-29 10:59:58,0.034s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_003_Verify_RequiredField,Chrome 75.0.3770.142,,,2019-07-29 10:59:58,2019-07-29 11:00:22,23.738s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 10:59:58,2019-07-29 11:00:04,5.992s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 11:00:04,2019-07-29 11:00:11,6.422s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 11:00:11,2019-07-29 11:00:15,4.223s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 11:00:15,2019-07-29 11:00:15,0.010s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 11:00:15,2019-07-29 11:00:15,0.200s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 11:00:15,2019-07-29 11:00:15,0.176s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 11:00:15,2019-07-29 11:00:16,0.093s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 11:00:16,2019-07-29 11:00:17,1.186s,PASSED
"sendKeys(findTestObject(""BPM POC/Input_Description""), Keys.chord(CONTROL, ""a""))",Chrome 75.0.3770.142,,,2019-07-29 11:00:17,2019-07-29 11:00:17,0.099s,PASSED
"sendKeys(findTestObject(""BPM POC/Input_Description""), Keys.chord(DELETE))",Chrome 75.0.3770.142,,,2019-07-29 11:00:17,2019-07-29 11:00:17,0.080s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 11:00:17,2019-07-29 11:00:17,0.096s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 11:00:17,2019-07-29 11:00:22,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E0076 : Enter Required Fields"")",Chrome 75.0.3770.142,,,2019-07-29 11:00:22,2019-07-29 11:00:22,0.031s,PASSED
