Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,IE 11,,,2019-07-29 15:23:36,2019-07-29 15:24:50,1m - 14.511s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,IE 11,,,2019-07-29 15:23:36,2019-07-29 15:24:08,32.219s,PASSED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",IE 11,,,2019-07-29 15:23:37,2019-07-29 15:23:37,0.029s,PASSED
"openBrowser("""")",IE 11,,,2019-07-29 15:23:37,2019-07-29 15:23:40,3.195s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",IE 11,,,2019-07-29 15:23:40,2019-07-29 15:23:52,11.585s,PASSED
maximizeWindow(),IE 11,,,2019-07-29 15:23:52,2019-07-29 15:23:52,0.031s,PASSED
waitForAngularLoad(10),IE 11,,,2019-07-29 15:23:52,2019-07-29 15:23:52,0.055s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",IE 11,,,2019-07-29 15:23:52,2019-07-29 15:23:53,0.597s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",IE 11,,,2019-07-29 15:23:53,2019-07-29 15:23:53,0.456s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",IE 11,,,2019-07-29 15:23:53,2019-07-29 15:23:54,1.379s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",IE 11,,,2019-07-29 15:23:54,2019-07-29 15:23:56,1.491s,PASSED
delay(5),IE 11,,,2019-07-29 15:23:56,2019-07-29 15:24:01,5.037s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),IE 11,,,2019-07-29 15:24:01,2019-07-29 15:24:01,0.004s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",IE 11,,,2019-07-29 15:24:01,2019-07-29 15:24:02,0.573s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",IE 11,,,2019-07-29 15:24:02,2019-07-29 15:24:03,0.976s,PASSED
delay(5),IE 11,,,2019-07-29 15:24:03,2019-07-29 15:24:08,5.008s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",IE 11,,,2019-07-29 15:24:08,2019-07-29 15:24:08,0.222s,PASSED
takeScreenshot(),IE 11,,,2019-07-29 15:24:08,2019-07-29 15:24:08,0.130s,PASSED
closeBrowser(),IE 11,,,2019-07-29 15:24:08,2019-07-29 15:24:08,0.586s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,IE 11,,,2019-07-29 15:24:08,2019-07-29 15:24:33,24.823s,PASSED
"openBrowser("""")",IE 11,,,2019-07-29 15:24:09,2019-07-29 15:24:11,1.826s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",IE 11,,,2019-07-29 15:24:11,2019-07-29 15:24:22,11.138s,PASSED
maximizeWindow(),IE 11,,,2019-07-29 15:24:22,2019-07-29 15:24:22,0.020s,PASSED
waitForAngularLoad(10),IE 11,,,2019-07-29 15:24:22,2019-07-29 15:24:22,0.045s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",IE 11,,,2019-07-29 15:24:22,2019-07-29 15:24:22,0.504s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",IE 11,,,2019-07-29 15:24:22,2019-07-29 15:24:23,0.440s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",IE 11,,,2019-07-29 15:24:23,2019-07-29 15:24:24,1.352s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",IE 11,,,2019-07-29 15:24:24,2019-07-29 15:24:26,1.486s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sample9"")",IE 11,,,2019-07-29 15:24:26,2019-07-29 15:24:27,1.057s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",IE 11,,,2019-07-29 15:24:27,2019-07-29 15:24:28,0.945s,PASSED
delay(5),IE 11,,,2019-07-29 15:24:28,2019-07-29 15:24:33,5.003s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E : Record Already Exists"")",IE 11,,,2019-07-29 15:24:33,2019-07-29 15:24:33,0.128s,PASSED
takeScreenshot(),IE 11,,,2019-07-29 15:24:33,2019-07-29 15:24:33,0.071s,PASSED
closeBrowser(),IE 11,,,2019-07-29 15:24:33,2019-07-29 15:24:33,0.590s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_003_Verify_RequiredField,IE 11,,,2019-07-29 15:24:33,2019-07-29 15:24:50,16.948s,FAILED
"openBrowser("""")",IE 11,,,2019-07-29 15:24:34,2019-07-29 15:24:35,1.619s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",IE 11,,,2019-07-29 15:24:35,2019-07-29 15:24:46,11.356s,PASSED
maximizeWindow(),IE 11,,,2019-07-29 15:24:46,2019-07-29 15:24:47,0.019s,PASSED
waitForAngularLoad(10),IE 11,,,2019-07-29 15:24:47,2019-07-29 15:24:47,0.050s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",IE 11,,,2019-07-29 15:24:47,2019-07-29 15:24:47,0.517s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",IE 11,,,2019-07-29 15:24:47,2019-07-29 15:24:48,0.460s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",IE 11,,,2019-07-29 15:24:48,2019-07-29 15:24:49,1.391s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",IE 11,,,2019-07-29 15:24:49,2019-07-29 15:24:50,0.949s,PASSED
"sendKeys(findTestObject(""BPM POC/Input_Description""), Keys.chord(CONTROL, ""a""))",IE 11,,,2019-07-29 15:24:50,2019-07-29 15:24:50,0.394s,FAILED
