Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,IE 11,,,2019-07-29 10:39:45,2019-07-29 10:40:00,15.035s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,IE 11,,,2019-07-29 10:39:46,2019-07-29 10:39:50,3.999s,FAILED
"openBrowser("""")",IE 11,,,2019-07-29 10:39:46,2019-07-29 10:39:49,3.192s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",IE 11,,,2019-07-29 10:39:49,2019-07-29 10:39:49,0.063s,PASSED
maximizeWindow(),IE 11,,,2019-07-29 10:39:49,2019-07-29 10:39:49,0.025s,PASSED
waitForAngularLoad(10),IE 11,,,2019-07-29 10:39:49,2019-07-29 10:39:49,0.050s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",IE 11,,,2019-07-29 10:39:49,2019-07-29 10:39:50,0.097s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,IE 11,,,2019-07-29 10:39:50,2019-07-29 10:39:53,3.425s,FAILED
"openBrowser("""")",IE 11,,,2019-07-29 10:39:50,2019-07-29 10:39:52,1.965s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",IE 11,,,2019-07-29 10:39:52,2019-07-29 10:39:52,0.052s,PASSED
maximizeWindow(),IE 11,,,2019-07-29 10:39:52,2019-07-29 10:39:52,0.022s,PASSED
waitForAngularLoad(10),IE 11,,,2019-07-29 10:39:52,2019-07-29 10:39:52,0.077s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",IE 11,,,2019-07-29 10:39:52,2019-07-29 10:39:53,0.978s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_003_Verify_RequiredField,IE 11,,,2019-07-29 10:39:53,2019-07-29 10:40:00,7.205s,FAILED
"openBrowser("""")",IE 11,,,2019-07-29 10:39:53,2019-07-29 10:39:59,5.412s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",IE 11,,,2019-07-29 10:39:59,2019-07-29 10:39:59,0.473s,PASSED
maximizeWindow(),IE 11,,,2019-07-29 10:39:59,2019-07-29 10:39:59,0.017s,PASSED
waitForAngularLoad(10),IE 11,,,2019-07-29 10:39:59,2019-07-29 10:40:00,0.780s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",IE 11,,,2019-07-29 10:40:00,2019-07-29 10:40:00,0.092s,FAILED
