Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 07:30:11,2019-07-29 07:31:16,1m - 5.183s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 07:30:11,2019-07-29 07:30:30,19.187s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 07:30:11,2019-07-29 07:30:18,6.230s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 07:30:18,2019-07-29 07:30:23,5.842s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 07:30:23,2019-07-29 07:30:28,4.148s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 07:30:28,2019-07-29 07:30:28,0.026s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 07:30:28,2019-07-29 07:30:28,0.171s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 07:30:28,2019-07-29 07:30:28,0.118s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 07:30:28,2019-07-29 07:30:28,0.129s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 07:30:28,2019-07-29 07:30:29,0.947s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sampl12445654665"")",Chrome 75.0.3770.142,,,2019-07-29 07:30:29,2019-07-29 07:30:29,0.519s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 07:30:29,2019-07-29 07:30:30,0.080s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 07:30:30,2019-07-29 07:30:30,0.765s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 07:30:30,2019-07-29 07:30:53,23.158s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 07:30:31,2019-07-29 07:30:37,6.031s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 07:30:37,2019-07-29 07:30:43,5.949s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 07:30:43,2019-07-29 07:30:47,4.128s,PASSED
