Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 13:15:38,2019-07-29 13:16:00,21.964s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 13:15:39,2019-07-29 13:15:47,8.246s,FAILED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",Chrome 75.0.3770.142,,,2019-07-29 13:15:39,2019-07-29 13:15:39,0.019s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:15:39,2019-07-29 13:15:46,7.405s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:15:46,2019-07-29 13:15:47,0.389s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 13:15:47,2019-07-29 13:15:53,6.711s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:15:47,2019-07-29 13:15:53,6.189s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:15:53,2019-07-29 13:15:53,0.286s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_003_Verify_RequiredField,Chrome 75.0.3770.142,,,2019-07-29 13:15:53,2019-07-29 13:16:00,6.429s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:15:54,2019-07-29 13:16:00,5.998s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:16:00,2019-07-29 13:16:00,0.299s,FAILED
