Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 13:26:51,2019-07-29 13:27:13,22.448s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 13:26:51,2019-07-29 13:27:00,8.547s,FAILED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",Chrome 75.0.3770.142,,,2019-07-29 13:26:52,2019-07-29 13:26:52,0.041s,NOT_RUN
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:26:52,2019-07-29 13:26:59,6.944s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:26:59,2019-07-29 13:27:00,0.571s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 13:27:00,2019-07-29 13:27:07,6.807s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:27:00,2019-07-29 13:27:06,6.131s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:27:06,2019-07-29 13:27:07,0.369s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_003_Verify_RequiredField,Chrome 75.0.3770.142,,,2019-07-29 13:27:07,2019-07-29 13:27:13,6.449s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:27:07,2019-07-29 13:27:13,5.836s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:27:13,2019-07-29 13:27:13,0.299s,FAILED
