Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 11:05:10,2019-07-29 11:06:31,1m - 20.473s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 11:05:10,2019-07-29 11:05:42,31.718s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 11:05:11,2019-07-29 11:05:18,7.368s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 11:05:18,2019-07-29 11:05:25,6.332s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 11:05:25,2019-07-29 11:05:29,4.506s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 11:05:29,2019-07-29 11:05:29,0.029s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 11:05:29,2019-07-29 11:05:30,0.927s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 11:05:30,2019-07-29 11:05:30,0.140s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 11:05:30,2019-07-29 11:05:30,0.118s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 11:05:30,2019-07-29 11:05:31,0.918s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 11:05:31,2019-07-29 11:05:36,5.017s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),Chrome 75.0.3770.142,,,2019-07-29 11:05:36,2019-07-29 11:05:36,0.009s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",Chrome 75.0.3770.142,,,2019-07-29 11:05:36,2019-07-29 11:05:37,0.339s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 11:05:37,2019-07-29 11:05:37,0.103s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 11:05:37,2019-07-29 11:05:42,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 11:05:42,2019-07-29 11:05:42,0.047s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 11:05:42,2019-07-29 11:05:42,0.389s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 11:05:42,2019-07-29 11:06:07,24.338s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 11:05:42,2019-07-29 11:05:48,6.015s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 11:05:48,2019-07-29 11:05:55,6.285s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 11:05:55,2019-07-29 11:05:59,4.282s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 11:05:59,2019-07-29 11:05:59,0.019s,PASSED
