Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,IE 11,,,2019-07-29 11:05:11,2019-07-29 11:06:31,1m - 20.302s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,IE 11,,,2019-07-29 11:05:11,2019-07-29 11:05:43,31.253s,PASSED
"openBrowser("""")",IE 11,,,2019-07-29 11:05:12,2019-07-29 11:05:15,3.015s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",IE 11,,,2019-07-29 11:05:15,2019-07-29 11:05:26,11.289s,PASSED
maximizeWindow(),IE 11,,,2019-07-29 11:05:26,2019-07-29 11:05:26,0.032s,PASSED
waitForAngularLoad(10),IE 11,,,2019-07-29 11:05:26,2019-07-29 11:05:26,0.067s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",IE 11,,,2019-07-29 11:05:26,2019-07-29 11:05:27,0.530s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",IE 11,,,2019-07-29 11:05:27,2019-07-29 11:05:27,0.490s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",IE 11,,,2019-07-29 11:05:27,2019-07-29 11:05:29,1.797s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",IE 11,,,2019-07-29 11:05:29,2019-07-29 11:05:31,1.542s,PASSED
delay(5),IE 11,,,2019-07-29 11:05:31,2019-07-29 11:05:36,5.020s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),IE 11,,,2019-07-29 11:05:36,2019-07-29 11:05:36,0.022s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",IE 11,,,2019-07-29 11:05:36,2019-07-29 11:05:36,0.603s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",IE 11,,,2019-07-29 11:05:36,2019-07-29 11:05:37,0.951s,PASSED
delay(5),IE 11,,,2019-07-29 11:05:37,2019-07-29 11:05:42,5.003s,PASSED
