Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 13:37:15,2019-07-29 13:38:31,1m - 16.455s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 13:37:15,2019-07-29 13:37:45,29.943s,PASSED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",Chrome 75.0.3770.142,,,2019-07-29 13:37:15,2019-07-29 13:37:15,0.003s,NOT_RUN
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:37:15,2019-07-29 13:37:22,6.395s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 13:37:22,2019-07-29 13:37:28,6.072s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 13:37:28,2019-07-29 13:37:32,4.149s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 13:37:32,2019-07-29 13:37:32,0.026s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 13:37:32,2019-07-29 13:37:32,0.305s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 13:37:32,2019-07-29 13:37:33,0.155s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 13:37:33,2019-07-29 13:37:33,0.095s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 13:37:33,2019-07-29 13:37:34,0.863s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:37:34,2019-07-29 13:37:39,5.051s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),Chrome 75.0.3770.142,,,2019-07-29 13:37:39,2019-07-29 13:37:39,0.003s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",Chrome 75.0.3770.142,,,2019-07-29 13:37:39,2019-07-29 13:37:39,0.266s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 13:37:39,2019-07-29 13:37:39,0.101s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:37:39,2019-07-29 13:37:44,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 13:37:44,2019-07-29 13:37:44,0.085s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 13:37:44,2019-07-29 13:37:44,0.355s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 13:37:44,2019-07-29 13:37:45,0.723s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 13:37:45,2019-07-29 13:38:08,23.335s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:37:45,2019-07-29 13:37:50,5.198s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 13:37:50,2019-07-29 13:37:57,6.100s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 13:37:57,2019-07-29 13:38:01,4.132s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 13:38:01,2019-07-29 13:38:01,0.011s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:01,2019-07-29 13:38:01,0.146s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:01,2019-07-29 13:38:01,0.102s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 13:38:01,2019-07-29 13:38:01,0.120s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 13:38:01,2019-07-29 13:38:02,0.860s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sample9"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:02,2019-07-29 13:38:02,0.390s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 13:38:02,2019-07-29 13:38:02,0.067s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:38:02,2019-07-29 13:38:07,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E : Record Already Exists"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:07,2019-07-29 13:38:07,0.028s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 13:38:07,2019-07-29 13:38:08,0.323s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 13:38:08,2019-07-29 13:38:08,0.682s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_003_Verify_RequiredField,Chrome 75.0.3770.142,,,2019-07-29 13:38:08,2019-07-29 13:38:31,22.967s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:38:09,2019-07-29 13:38:14,5.232s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:14,2019-07-29 13:38:20,5.912s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 13:38:20,2019-07-29 13:38:24,4.146s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 13:38:24,2019-07-29 13:38:24,0.011s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:24,2019-07-29 13:38:24,0.142s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:24,2019-07-29 13:38:24,0.102s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 13:38:24,2019-07-29 13:38:24,0.084s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 13:38:24,2019-07-29 13:38:25,0.860s,PASSED
"sendKeys(findTestObject(""BPM POC/Input_Description""), Keys.chord(CONTROL, ""a""))",Chrome 75.0.3770.142,,,2019-07-29 13:38:25,2019-07-29 13:38:25,0.067s,PASSED
"sendKeys(findTestObject(""BPM POC/Input_Description""), Keys.chord(DELETE))",Chrome 75.0.3770.142,,,2019-07-29 13:38:25,2019-07-29 13:38:25,0.067s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 13:38:25,2019-07-29 13:38:25,0.079s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:38:25,2019-07-29 13:38:30,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E0076 : Enter Required Fields"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:30,2019-07-29 13:38:30,0.029s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 13:38:30,2019-07-29 13:38:31,0.343s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 13:38:31,2019-07-29 13:38:31,0.690s,PASSED
