Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 15:23:35,2019-07-29 15:24:57,1m - 21.757s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 15:23:36,2019-07-29 15:24:08,32.523s,PASSED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",Chrome 75.0.3770.142,,,2019-07-29 15:23:37,2019-07-29 15:23:37,0.135s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 15:23:37,2019-07-29 15:23:44,7.237s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 15:23:44,2019-07-29 15:23:50,6.478s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 15:23:50,2019-07-29 15:23:55,4.482s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 15:23:55,2019-07-29 15:23:55,0.035s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 15:23:55,2019-07-29 15:23:55,0.314s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 15:23:55,2019-07-29 15:23:55,0.208s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 15:23:55,2019-07-29 15:23:56,0.102s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 15:23:56,2019-07-29 15:23:57,1.016s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 15:23:57,2019-07-29 15:24:02,5.019s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),Chrome 75.0.3770.142,,,2019-07-29 15:24:02,2019-07-29 15:24:02,0.008s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",Chrome 75.0.3770.142,,,2019-07-29 15:24:02,2019-07-29 15:24:02,0.327s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 15:24:02,2019-07-29 15:24:02,0.101s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 15:24:02,2019-07-29 15:24:07,5.002s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 15:24:07,2019-07-29 15:24:07,0.116s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 15:24:07,2019-07-29 15:24:07,0.386s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 15:24:07,2019-07-29 15:24:08,0.756s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 15:24:08,2019-07-29 15:24:33,24.692s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 15:24:09,2019-07-29 15:24:14,5.390s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 15:24:14,2019-07-29 15:24:20,6.415s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 15:24:20,2019-07-29 15:24:25,4.278s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 15:24:25,2019-07-29 15:24:25,0.030s,PASSED
