Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 07:23:26,2019-07-29 07:24:25,59.286s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 07:23:26,2019-07-29 07:23:45,19.019s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 07:23:26,2019-07-29 07:23:33,6.126s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 07:23:33,2019-07-29 07:23:38,5.983s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 07:23:38,2019-07-29 07:23:43,4.144s,PASSED
waitForAngularLoad(5),Chrome 75.0.3770.142,,,2019-07-29 07:23:43,2019-07-29 07:23:43,0.017s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 07:23:43,2019-07-29 07:23:43,0.166s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 07:23:43,2019-07-29 07:23:43,0.109s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 07:23:43,2019-07-29 07:23:43,0.109s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 07:23:43,2019-07-29 07:23:44,0.893s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sampl12465"")",Chrome 75.0.3770.142,,,2019-07-29 07:23:44,2019-07-29 07:23:44,0.403s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 07:23:44,2019-07-29 07:23:44,0.072s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 07:23:44,2019-07-29 07:23:45,0.783s,FAILED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 07:23:45,2019-07-29 07:24:05,20.210s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 07:23:45,2019-07-29 07:23:51,6.006s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 07:23:51,2019-07-29 07:23:58,6.231s,PASSED
