Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 13:38:42,2019-07-29 13:40:04,1m - 21.559s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 13:38:42,2019-07-29 13:39:14,31.648s,PASSED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:43,2019-07-29 13:38:43,0.022s,NOT_RUN
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:38:43,2019-07-29 13:38:50,6.769s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 13:38:50,2019-07-29 13:38:56,6.319s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 13:38:56,2019-07-29 13:39:00,4.473s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 13:39:00,2019-07-29 13:39:01,0.050s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 13:39:01,2019-07-29 13:39:01,0.212s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 13:39:01,2019-07-29 13:39:01,0.270s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 13:39:01,2019-07-29 13:39:01,0.265s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 13:39:01,2019-07-29 13:39:02,0.948s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:39:02,2019-07-29 13:39:07,5.020s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),Chrome 75.0.3770.142,,,2019-07-29 13:39:07,2019-07-29 13:39:07,0.007s,PASSED
