Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 13:17:33,2019-07-29 13:18:49,1m - 16.740s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 13:17:33,2019-07-29 13:18:03,29.964s,PASSED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",Chrome 75.0.3770.142,,,2019-07-29 13:17:33,2019-07-29 13:17:33,0.112s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:17:33,2019-07-29 13:17:40,6.243s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:17:40,2019-07-29 13:17:46,6.376s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 13:17:46,2019-07-29 13:17:50,4.141s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 13:17:50,2019-07-29 13:17:50,0.023s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), USERNAME)",Chrome 75.0.3770.142,,,2019-07-29 13:17:50,2019-07-29 13:17:50,0.190s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), PASSWORD)",Chrome 75.0.3770.142,,,2019-07-29 13:17:50,2019-07-29 13:17:50,0.112s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 13:17:50,2019-07-29 13:17:51,0.088s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 13:17:51,2019-07-29 13:17:51,0.859s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:17:51,2019-07-29 13:17:56,5.015s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),Chrome 75.0.3770.142,,,2019-07-29 13:17:56,2019-07-29 13:17:56,0.005s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",Chrome 75.0.3770.142,,,2019-07-29 13:17:56,2019-07-29 13:17:57,0.312s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 13:17:57,2019-07-29 13:17:57,0.094s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:17:57,2019-07-29 13:18:02,5.001s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 13:18:02,2019-07-29 13:18:02,0.046s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 13:18:02,2019-07-29 13:18:02,0.357s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 13:18:02,2019-07-29 13:18:03,0.691s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 13:18:03,2019-07-29 13:18:26,23.343s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 13:18:03,2019-07-29 13:18:08,5.260s,PASSED
navigateToUrl(URL),Chrome 75.0.3770.142,,,2019-07-29 13:18:08,2019-07-29 13:18:14,5.955s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 13:18:14,2019-07-29 13:18:18,4.142s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 13:18:18,2019-07-29 13:18:18,0.011s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), USERNAME)",Chrome 75.0.3770.142,,,2019-07-29 13:18:18,2019-07-29 13:18:19,0.138s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), PASSWORD)",Chrome 75.0.3770.142,,,2019-07-29 13:18:19,2019-07-29 13:18:19,0.099s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 13:18:19,2019-07-29 13:18:19,0.103s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 13:18:19,2019-07-29 13:18:20,0.911s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sample9"")",Chrome 75.0.3770.142,,,2019-07-29 13:18:20,2019-07-29 13:18:20,0.359s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 13:18:20,2019-07-29 13:18:20,0.068s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 13:18:20,2019-07-29 13:18:25,5.003s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E : Record Already Exists"")",Chrome 75.0.3770.142,,,2019-07-29 13:18:25,2019-07-29 13:18:25,0.029s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 13:18:25,2019-07-29 13:18:26,0.351s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 13:18:26,2019-07-29 13:18:26,0.694s,PASSED
,,,,,,,
